Registration Number,UG Name of university,UGCGPA,Year of graduation,Employeed after graduation,Location of primary school,Location of secondary school,Disability,Fatherss highest level of education,Motherss highest level of education,Socio-economic level,Father occupation,Mother occupation,Electronic gadgets,Internet access at home,VT,QT,AT,OT
1015951,Adama Universiy,2.5,2001E.C,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,Civil Servant,Civil Servant,"Mobile phone with touch screen, ",Yes,24,17,7,48
1044196,Addis Ababa University,3.6,2021,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Better than,doctor,bussiness,"Mobile phone with touch screen, ",Yes,29,7,12,48
1015774,AAU SCHOOL OF COMMERCE,3.15,2017,No,Addis Ababa,Addis Ababa,,Other,Primary Education,Same as,no,business women,,Yes,24,11,13,48
1041210,Addis Ababa University,2.65,2009,Yes,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Same as,merchant,AHOUSE WIFE,"Mobile phone with touch screen, ",No,21,15,12,48
1041390,Wolkite University,3.96,2021,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Agriculture,Agriculture,"Mobile phone with touch screen, ",No,21,14,13,48
1042548,Wolkite University,-3.99,2011 E.c,Yes,Oromia,Oromia,,Primary Education,Non Literate Adult and Non Formal Education,Same as,business owner,Agriculture,"Mobile phone with touch screen, ",No,23,15,10,48
1014294,wollo university,2.98,2019,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Post Secondary,Better than,TEACHER,accountant," Mobile phone without touch screen, ",No,17,19,12,48
1016753,steMARYS UNIVERSITY,3,"OCT,2021",No,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,ACCOUNTANT,ACCOUNTANT,"Mobile phone with touch screen, ",Yes,20,21,7,48
1041519,universty of Gondar,3.4,2021,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Post Secondary,Same as,mechanic,accountant,"Mobile phone with touch screen, ",No,18,19,11,48
1018644,Addis Ababa university college of commerce,2.95,2008,Yes,Addis Ababa,Addis Ababa,,Other,Other,Same as,already passed away,-,"Mobile phone with touch screen, ",Yes,24,18,6,48
1016244,2020 open college,3.8,2011,Yes,Oromia,Oromia,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Better than,MARCHENT,s,"Mobile phone with touch screen, ",Yes,21,18,9,48
1016986,woldiay university,3.43,2005,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,no,yes,"Mobile phone with touch screen, ",Yes,17,21,9,47
1016348,CHINA FANGWEI KEJI  University?,4,2007,Yes,,,,Primary Education,Primary Education,Better than,WORKER,WORKER,"Mobile phone with touch screen, ",Yes,17,22,8,47
3945,Haramaya University,3.44,2015,Yes,Amhara,Amhara,,Post Secondary,,Same as,teacher,teacher,"Mobile phone with touch screen, Mobile phone with touch screen, ",No,18,14,15,47
17097,Riftvalley university,3.66,2009,Yes,Oromia,Oromia,,Post Secondary,,Same as,Teacher,Teacher,"Mobile phone with touch screen, ",Yes,21,14,12,47
1002706,AAU(EIABC),2.63,2019,Yes,Addis Ababa,Addis Ababa,,Other,Post Secondary,Same as,business man,teacher,"Mobile phone with touch screen, ",Yes,23,11,13,47
1015895,AFRICA MEDICAL COLLEGE,3.4,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,MARCHENT,TEACHER,"Mobile phone with touch screen, ",Yes,21,15,11,47
1015776,ste Mary university,2.54,2001EC,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Better than,govt,teacher,"Mobile phone with touch screen, ",Yes,19,10,18,47
1012888,jimma university,3.42,2015,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Better than,teacher,teacher,"Mobile phone with touch screen, ",Yes,23,16,8,47
1016926,POLY INSTITIYUT OF TECHNOLOGY,2.4,2017,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Post Secondary,Worse than,SUPERVISOR,TEACHER,"Mobile phone with touch screen, ",Yes,19,21,7,47
1018654,Jimma University,2.48,2008,Yes,Addis Ababa,Tigray,,Secondary Education,Secondary Education,Same as,Teacher,Teacher,"Mobile phone with touch screen, ",Yes,21,21,5,47
1041492,Unity University,4,2021G.C,Yes,Amhara,Amhara,,Post Secondary,Post Secondary,Same as,Lecturer,Teacher," Laptop computer, ",Yes,21,11,15,47
1042515,Wollega university,2.5,2009,Yes,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,teacher,teacher,"Mobile phone with touch screen, Mobile phone with touch screen, ",No,21,18,8,47
1084080,StsMarry college,3.3,2014,Yes,Amhara,Amhara,,Secondary Education,Post Secondary,Same as,died,TEACHER,"Mobile phone with touch screen, ",Yes,28,11,8,47
1000241,Dilla University,3.08,2006 E.C.,Yes,Oromia,Oromia,,Primary Education,Primary Education,Same as,Shitahun Gebretsadik,Tadelech Lema,"Mobile phone with touch screen, ",No,21,21,5,47
1037507,Dilla University,3.55,2014,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Primary Education,Non Literate Adult and Non Formal Education,Same as,Gospel Preacher,she is not live,"Mobile phone with touch screen, ",No,24,11,12,47
1046835,stemaryss university,2.85,2020 G.C,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,Forman,she is died,"Mobile phone with touch screen, ",Yes,22,17,8,47
1032624,University of Gondar,2.2,2007,Yes,Afar,Afar,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,he is died,she is died,"Mobile phone with touch screen, ",No,21,16,10,47
1042675,Mekelle University,3.09,2020,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,PRIVATE,she is defunct,"Mobile phone with touch screen, ",Yes,20,12,15,47
1040715,medico-bio medicall college,3.99,2006EC,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,governement worker,shaf," Mobile phone without touch screen, ",No,27,11,9,47
1018717,Addis Ababa university,4,2019,Yes,Amhara,Amhara,,Secondary Education,Primary Education,Same as,Carpenter,Selller,"Mobile phone with touch screen, ",Yes,23,14,10,47
1042454,gondar,2,2003 E.C,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,SELF EMPLOYED,SELF EMPLOYED,"Mobile phone with touch screen, ",Yes,22,15,10,47
1014502,Hawassa University,2.5,2007,Yes,Dire Dewa,Dire Dewa,,Secondary Education,Secondary Education,Same as,Self,Self,"Mobile phone with touch screen, ",No,19,17,11,47
1017078,Ethiopian technical university,3.36,2017,Yes,Oromia,Oromia,,Primary Education,Non Literate Adult and Non Formal Education,Same as,self,self," Mobile phone without touch screen, ",No,20,18,9,47
1046824,Aksum university,3.29,2013,Yes,Amhara,Amhara,,Secondary Education,Secondary Education,Same as,self,Self,"Mobile phone with touch screen, ",No,18,21,8,47
1046773,BAHIRDAR UNIVERSITY,3.01,2008,No,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Better than,mekanik,secritery,"Mobile phone with touch screen, ",Yes,20,18,9,47
1042671,Dire Dawa university,2.98,2021,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,mechanic,secretary,"Mobile phone with touch screen, ",No,25,12,10,47
1044228,stemary University,2.3,2009,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,economicest,secretary,"Mobile phone with touch screen, ",Yes,28,10,9,47
1002868,Unity University,2.9,2016,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Better than,Agronomist,Secratery,"Mobile phone with touch screen, ",Yes,27,12,8,47
1015839,Addis Ababa university,3.4,2010,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,retire,retire,"Mobile phone with touch screen, ",Yes,25,10,12,47
1016658,Addis Ababa University,2.39,2019,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,retaired,retaired,"Mobile phone with touch screen, ",Yes,25,15,7,47
1040471,Addis Ababa University & Ethiopian Technical University,3.28,2021,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Primary Education,Same as,driver,public servant,"Mobile phone with touch screen, ",No,21,15,11,47
1014207,admass uniiversty,2.65,2016,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Other,Same as,privet,privet," Desktop computer, ",Yes,24,10,13,47
1014840,Admas University,2.99,2019,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,lawyer,private work,"Mobile phone with touch screen, ",Yes,21,12,14,47
1015538,Adddis abab Science and technology university,2.85,2021,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,no,private business,"Mobile phone with touch screen, ",Yes,22,16,9,47
47668,Micro link Information technology college,3.2,2013,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Primary Education,Better than,private,private,"Mobile phone with touch screen, ",Yes,22,22,3,47
1015366,AAU,2.5,2010,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,private,private,"Mobile phone with touch screen, ",Yes,19,19,9,47
1012547,Adama science & technology university,2.76,2017 G.C,Yes,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,retired,private,"Mobile phone with touch screen, ",No,23,17,7,47
1013026,Wollega University,3.15,2017,Yes,Oromia,Oromia,,Post Secondary,Post Secondary,Same as,private,private,"Mobile phone with touch screen, ",No,27,11,9,47
1016242,Addis Ababa University,2.2,2015,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Secondary Education,Post Secondary,Better than,Merchant,private,"Mobile phone with touch screen, ",Yes,25,14,8,47
1014394,ambo university,3.8,2003 EC,Yes,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Same as,private,private,"Mobile phone with touch screen, ",No,18,21,8,47
1013882,Addis Ababa university,2.2,2016,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Primary Education,Same as,Cicil Servant,Private," Laptop computer, ",Yes,23,15,9,47
1016956,microlink,3.12,2021,No,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Better than,private,private,"Mobile phone with touch screen, ",Yes,29,9,9,47
1042699,Addis Ababa University,2.2,2016,Yes,Addis Ababa,Addis Ababa,,Other,Secondary Education,Same as,No,private,"Mobile phone with touch screen, ",Yes,19,17,11,47
1002979,University of Gonder,3.78,2013 E.C,Yes,Oromia,Oromia,,Primary Education,Secondary Education,Same as,merchant,police,"Mobile phone with touch screen, ",No,24,10,13,47
1012624,makana yesus management and lideraship college,3.292,2011 E.c,Yes,Oromia,Oromia,,Secondary Education,Secondary Education,Same as,personal business,personal business,"Mobile phone with touch screen, ",Yes,16,20,11,47
1041940,jimma,3.08,2016,Yes,Oromia,Oromia,,Secondary Education,Primary Education,Same as,driver,passed away,"Mobile phone with touch screen, ",Yes,28,8,11,47
1040553,Addis Ababa University,2.78,no,Yes,Addis Ababa,Addis Ababa,,Other,Post Secondary,Same as,Owen jop,Owen jop," Desktop computer, ",Yes,14,18,15,47
1016302,Addis Ababa University,2.8,2021,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,Driver,Office,,No,23,14,10,47
1013804,Addis Ababa university,3.2,2011,Yes,Amhara,Amhara,,Primary Education,Primary Education,Better than,teacher,Nurse," Laptop computer, ",No,22,18,7,47
1013631,ethiopian techenical unversity,3.04,2019/20,Yes,Addis Ababa,Addis Ababa,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Better than,not working,not working,"Mobile phone with touch screen, ",No,23,17,7,47
1042867,Wolaita Sodo University,3.42,2009,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Secondary Education,Same as,private,Not in life,"Mobile phone with touch screen, ",Yes,17,16,14,47
1041472,tropical college or medicine,3.7,2007,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Same as,not alive,not alive," Mobile phone without touch screen, ",Yes,22,12,13,47
1002792,unity university,2.74,2007,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Farmer,none,"Mobile phone with touch screen, ",No,21,17,9,47
1014421,Addis Ababa University,2.7,2005,Yes,Addis Ababa,Addis Ababa,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,None,None,"Mobile phone with touch screen, ",No,21,14,12,47
1042495,RIFT VALLEY UNIVERSITY,3.95,2021,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Primary Education,Same as,MERCHANT,NONE,"Mobile phone with touch screen, ",Yes,18,16,13,47
1083030,Wollega university,3.09,2004,Yes,Oromia,Oromia,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Worse than,non formal education,non formal education,"Mobile phone with touch screen, ",No,26,14,7,47
1015849,rift valley university,3,2021,Yes,Addis Ababa,Addis Ababa,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,NON,NON,"Mobile phone with touch screen, ",Yes,14,26,7,47
1083606,Addis Ababa University,2.45,2015,Yes,Oromia,Oromia,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Worse than,FARMER,non,"Mobile phone with touch screen, ",Yes,25,15,7,47
1083112,gonder,-3.26,2006 e.c,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Secondary Education,Same as,non,non," Mobile phone without touch screen, ",No,20,12,15,47
1015736,admas university,4,2013,No,Amhara,Amhara,,Secondary Education,Secondary Education,Better than,business,no work,"Mobile phone with touch screen, ",No,18,18,11,47
1041411,jimma university,3.74,2013,No,Amhara,Amhara,,Primary Education,Primary Education,Same as,trader,no work,"Mobile phone with touch screen, ",No,23,15,9,47
1018729,Addis Ababa university,2.6,2012,Yes,Addis Ababa,Addis Ababa,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,no job,no job,"Mobile phone with touch screen, ",Yes,25,13,9,47
9022,bahidar  university,2.85,2011,Yes,Addis Ababa,Addis Ababa,,Secondary Education,,Better than,no,no,"Mobile phone with touch screen, ",No,21,11,15,47
9022,bahidar  university,2.85,2011,Yes,Addis Ababa,Addis Ababa,,Secondary Education,,Better than,no,no,"Mobile phone with touch screen, ",No,21,11,15,47
1002818,Arbaminch Univercity,2.36,2011,Yes,Oromia,Oromia,,Secondary Education,Secondary Education,Better than,Governemental,no," Mobile phone without touch screen, ",Yes,25,13,9,47
1002893,Hawassa University,3.19,2009GC,Yes,Addis Ababa,Addis Ababa,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Religious leader,No,"Mobile phone with touch screen, ",No,18,19,10,47
1046962,jimma university,2.84,2007,Yes,Oromia,Oromia,,Secondary Education,Non Literate Adult and Non Formal Education,Same as,Employed,no,"Mobile phone with touch screen, ",Yes,23,13,11,47
1041525,Arba Minch University,2.92,2009,Yes,Amhara,Amhara,,Post Secondary,Primary Education,Same as,Teacher,No,"Mobile phone with touch screen, ",No,21,20,6,47
1014429,Ethiopian Adventist College,3,2006 E.C,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Post Secondary,Better than,University professor,NGO,"Mobile phone with touch screen, ",Yes,19,14,14,47
18428,Addis Ababa University,2.91,2013,Yes,Oromia,Oromia,,Non Literate Adult and Non Formal Education,,Same as,Retired,N/A,"Mobile phone with touch screen, Mobile phone with touch screen, ",No,18,24,5,47
1243,Hawassa University,2.95,2013,Yes,Amhara,Amhara,,Primary Education,,Same as,Merchant,Merchant,"Mobile phone with touch screen, ",No,11,17,19,47
1000061,university of Greenwich and Defense university,3.8,2009,Yes,Oromia,Oromia,,Primary Education,Primary Education,Same as,Merchant,Merchant," Laptop computer, ",Yes,18,15,14,47
1000230,AAU,2.66,2016,Yes,Amhara,Addis Ababa,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Merchant,Merchant," Tablet, ",Yes,20,14,13,47
47637,jimma university,3.1,2019,Yes,Oromia,Oromia,,Other,Other,Worse than,farmer,Merchant,"Mobile phone with touch screen, Mobile phone with touch screen, Mobile phone with touch screen, ",Yes,17,23,7,47
1002846,mekelle university,2.91,2020,No,Dire Dewa,Dire Dewa,,Post Secondary,Secondary Education,Same as,work at insurance company,merchant,"Mobile phone with touch screen, ",Yes,22,10,15,47
1014758,HOPE COLLEGE OF SCIENCE AND TECHNOLOGY,3.245,2018,Yes,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Same as,private employee,Merchant,"Mobile phone with touch screen, ",Yes,18,10,19,47
1012664,madda walabu,3.25,2019,Yes,Oromia,Oromia,,Primary Education,Primary Education,Same as,merchant,merchant,"Mobile phone with touch screen, ",Yes,20,17,10,47
1041252,wollo university,3.69,2021,Yes,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,health officer,merchant,"Mobile phone with touch screen, Mobile phone with touch screen, ",Yes,20,16,11,47
1042496,ste MARYsS UNIVERSITY,3.77,2021,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,MERCHANT,MERCHANT,"Mobile phone with touch screen, ",Yes,19,20,8,47
1037540,Unity University,3.84,2021GC.,No,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,Merchant,Merchant,"Mobile phone with touch screen, ",Yes,24,14,9,47
1046780,Hawassa Pharma College,3.98,2020 Dec 12,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Secondary Education,Same as,Techer in preparatory school,Merchant,"Mobile phone with touch screen, ",Yes,14,23,10,47
1084886,mekelle university,2.61,2012,Yes,Amhara,Addis Ababa,,Primary Education,Primary Education,Better than,merchant,merchant," Laptop computer, ",Yes,19,14,14,47
1018747,steMary University,2.8,2019,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Post Secondary,Same as,leaving,leaving,"Mobile phone with touch screen, ",No,18,18,11,47
1046897,hawassa unverisity,3.57,2018,Yes,Addis Ababa,Sidama,,Primary Education,Primary Education,Better than,Teacher,Lawyer," Desktop computer, ",Yes,22,17,8,47
1015969,AAu,3.43,2021,Yes,Oromia,Oromia,,Other,Other,Better than,NONE,lab assistance,"Mobile phone with touch screen, ",No,22,17,8,47
1016141,Dredawa University,3.91,2007,Yes,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Same as,Carpenter,Howes wife,"Mobile phone with touch screen, ",No,23,21,3,47
1000129,"University of Malawi, Kamuzu College of Nursing",66,2015,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Primary Education,Primary Education,Same as,LATE,Housewife,"Mobile phone with touch screen, ",Yes,28,11,8,47
1012589,hawassa universty,3.49,2017,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,contractor,Housewife,"Mobile phone with touch screen, ",Yes,22,12,13,47
1014609,RIFT VALLY UNVERSITY,3.65,2021 G.C,Yes,Oromia,Oromia,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,FARMER,housewife,"Mobile phone with touch screen, ",No,17,19,11,47
1015416,Jimma University,2.3,2002,Yes,Addis Ababa,Addis Ababa,,Non Literate Adult and Non Formal Education,Secondary Education,Same as,private work,Housewife,"Mobile phone with touch screen, ",Yes,22,15,10,47
1015260,Ambo university,3.95,28/01/2021,Yes,Oromia,Oromia,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Better than,farmer,Housewife," Laptop computer, ",Yes,22,18,7,47
1016237,st mary university,2.84,2019,Yes,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Same as,Retired,Housewife,"Mobile phone with touch screen, ",Yes,21,16,10,47
1013950,HARAMAYA,3.41,2010,Yes,Oromia,Oromia,,Post Secondary,Primary Education,Same as,teacher,housewife," Laptop computer, ",No,23,14,10,47
1012602,Arbaminch university,3.39,2010,Yes,Oromia,Oromia,,Primary Education,Secondary Education,Better than,employed at school,Housewife," Laptop computer, ",Yes,25,12,10,47
1017028,Dilla university,3.65,2011 E.C,Yes,Amhara,Amhara,,Primary Education,Primary Education,Same as,dead,housewife,,Yes,18,18,11,47
1020051,Rift Valley University,3.56,2020,Yes,Oromia,Oromia,,Primary Education,Primary Education,Same as,unemployed,housewife,"Mobile phone with touch screen, ",Yes,10,24,13,47
1019878,Debere Markos university,2.65,2007E.C,Yes,Amhara,Amhara,,Primary Education,Primary Education,Same as,Farmers,housewife,"Mobile phone with touch screen, ",No,16,18,13,47
1020139,Hawassa University,2.84,2013,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Secondary Education,Better than,Attorney,Housewife,"Mobile phone with touch screen, ",Yes,31,13,3,47
1042123,Arba Minch University,2.89,2009,Yes,Harari,Harari,,Post Secondary,Primary Education,Same as,carpanter,housewife,"Mobile phone with touch screen, ",Yes,24,11,12,47
1041416,Arbaminch university,3.17,2012 E.C,Yes,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,Mechanical Enginer,housewife,"Mobile phone with touch screen, ",Yes,22,22,3,47
1041248,Dilla University,3.68,2013 E.C,No,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Secondary Education,Same as,Womens and Youth Affairs Office,Housewife,"Mobile phone with touch screen, ",Yes,25,11,11,47
1083046,Adama Science and Technology University,2.91,2009,Yes,Harari,Harari,,Primary Education,Primary Education,Same as,Private,Housewife," Mobile phone without touch screen, ",No,23,13,11,47
1083076,Unity University,2.72,2014,Yes,Gambela,Gambela,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,farmer,housewife,"Mobile phone with touch screen, ",No,28,13,6,47
17647,University of Gonder,2.67,2018,Yes,Addis Ababa,Addis Ababa,,Post Secondary,,Same as,Seaman,houses wife,"Mobile phone with touch screen, ",Yes,25,12,10,47
1084912,Haramaya university,3,2018,Yes,Oromia,Oromia,,Primary Education,Primary Education,Same as,FARMAR,HOUSEHOLD,"Mobile phone with touch screen, ",No,21,11,15,47
1000075,Arba Minch University,3.13,2008,Yes,Oromia,Oromia,,Post Secondary,Primary Education,Same as,Veterinary,House wife,"Mobile phone with touch screen, Mobile phone with touch screen, ",No,12,19,16,47
7220,Addis Ababa University,2.4,1993 E.C,Yes,Amhara,Amhara,,Primary Education,,Same as,Farmer,house wife,"Mobile phone with touch screen, ",Yes,17,14,16,47
17127,AAU school of commerce,2.37,2014,Yes,Addis Ababa,Addis Ababa,,Secondary Education,,Same as,Driver,House wife,"Mobile phone with touch screen, ",Yes,23,17,7,47
5096,gage university,3.41,2018,Yes,Amhara,Amhara,,Primary Education,,Same as,farmer,house wife,"Mobile phone with touch screen, ",Yes,13,20,14,47
17606,Adama science and technology university,3.3,2017,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Secondary Education,,Same as,Ritired,house wife,"Mobile phone with touch screen, Mobile phone with touch screen, ",Yes,23,15,9,47
1000288,araba Minch university,3.18,2007,No,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,FARMER,house wife,"Mobile phone with touch screen, ",No,17,22,8,47
1000279,Aksum university,3.3,2018,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,business man,house wife," Mobile phone without touch screen, ",No,20,19,8,47
1000458,Addis Ababa University,3.23,2002 E.C,No,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,Governimental,House wife,"Mobile phone with touch screen, ",Yes,23,16,8,47
1002795,Addia Ababa University,3.4,2019,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Secondary Education,Secondary Education,Same as,retired,house wife,"Mobile phone with touch screen, ",No,28,9,10,47
1012761,Mekelle Universty,2.95,2007EC,Yes,Amhara,Amhara,,Other,Other,Worse than,farmer,house wife,"Mobile phone with touch screen, ",No,27,14,6,47
1012762,Addis Ababa Science and Technology University,3.22,2013,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,FARMER,House wife,"Mobile phone with touch screen, ",No,15,20,12,47
1015328,jimma University,3.34,2011,Yes,Oromia,Oromia,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Farmers,house wife,"Mobile phone with touch screen, ",Yes,17,23,7,47
1014036,Ethiopian techenical unversity,2.9,2013 E.C,Yes,Addis Ababa,Addis Ababa,,Post Secondary,Primary Education,Same as,Merchant,house wife,"Mobile phone with touch screen, ",No,18,17,12,47
1015603,Deberetabor University,3.12,2019 GC,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Worse than,Farmer,house wife,"Mobile phone with touch screen, ",No,24,10,13,47
1016224,AKSUM,3.53,2021,No,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,driver,house wife,"Mobile phone with touch screen, ",No,20,16,11,47
1014768,Debre Berehan university,2.94,2018,Yes,Amhara,Amhara,,Primary Education,Primary Education,Better than,FARMER,House wife,"Mobile phone with touch screen, ",Yes,19,18,10,47
1013084,rift valley university,3.72,2019 JUN 20,Yes,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,EMPELOYER,house wife,"Mobile phone with touch screen, ",Yes,21,16,10,47
1012648,Medinah university,4,2013,Yes,Oromia,Oromia,,Primary Education,Primary Education,Same as,merchant,house wife,"Mobile phone with touch screen, Mobile phone with touch screen, ",Yes,24,10,13,47
1012724,Addis Ababa University,3.06,2011,No,Addis Ababa,Addis Ababa,,Primary Education,Non Literate Adult and Non Formal Education,Same as,Military,House wife,"Mobile phone with touch screen, ",Yes,23,16,8,47
1014679,Debre Birhan University,3.41,2012,Yes,Amhara,Amhara,,Other,Non Literate Adult and Non Formal Education,Same as,business man,House wife," Laptop computer, ",No,23,16,8,47
1014388,Admas University,3.14,2021,No,Amhara,Amhara,,Post Secondary,Primary Education,Same as,civil servant,House wife,"Mobile phone with touch screen, ",Yes,22,15,10,47
1015627,alkan university collage,3.6,2010ec,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Primary Education,Same as,privat,House wife,"Mobile phone with touch screen, ",Yes,25,10,12,47
1014689,wollo university,3.098,2019,Yes,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Better than,DRIVER,HOUSE WIFE,"Mobile phone with touch screen, ",Yes,26,12,9,47
1016032,civil service University,2.4,2019,Yes,Oromia,Oromia,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,farmer,house wife,"Mobile phone with touch screen, ",No,21,18,8,47
1015143,Addis Ababa university,2.5,2004,Yes,Oromia,"Southern Nations, Nationalities, and Peoples",,Secondary Education,Secondary Education,Same as,buisness man,house wife,"Mobile phone with touch screen, ",Yes,25,12,10,47
1013623,Debre tabur,3.52,2013,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,FARMER,House wife,"Mobile phone with touch screen, ",Yes,14,24,9,47
1016040,Bahir Dar University,3.49,2016,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,farmer,House wife,"Mobile phone with touch screen, ",No,20,17,10,47
1014091,Addis Ababa University,2.5,1985,Yes,Amhara,Amhara,,Primary Education,Non Literate Adult and Non Formal Education,Same as,private,house wife,"Mobile phone with touch screen, ",Yes,20,18,9,47
1015001,Dilla university,3.76,2009,Yes,Amhara,Amhara,,Other,Other,Same as,Teache,house wife,"Mobile phone with touch screen, ",Yes,16,19,12,47
