Registration Number,UG Name of university,UGCGPA,Year of graduation,Employeed after graduation,Location of primary school,Location of secondary school,Disability,Fatherss highest level of education,Motherss highest level of education,Socio-economic level,Father occupation,Mother occupation,Electronic gadgets,Internet access at home,VT,QT,AT,OT
1084871,ASTU,2.9,2019,Yes,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,murchent,murchent,"Mobile phone with touch screen, ",Yes,32,20,14,66
1042990,Jimma University,2.48,2003,Yes,Addis Ababa,Addis Ababa,,Primary Education,Non Literate Adult and Non Formal Education,Same as,Evangelist,Mostly house wife,"Mobile phone with touch screen, ",Yes,31,20,15,66
14960,Arba minch university,3.24,2007 E.C,Yes,Addis Ababa,Addis Ababa,,Other,,Same as,Merchant,Merchant,"Mobile phone with touch screen, ",No,26,19,21,66
1002704,Axum university,3.38,2013,No,Amhara,Amhara,,Secondary Education,Secondary Education,Better than,merchant,merchant,"Mobile phone with touch screen, ",Yes,39,13,14,66
1015051,Jimma university,3.49,2018,Yes,Oromia,Oromia,,Post Secondary,Secondary Education,Same as,metrologist,merchant,"Mobile phone with touch screen, ",Yes,26,18,22,66
1014417,wachemo university,3.67,2019 G.C,Yes,Oromia,Oromia,,Secondary Education,Primary Education,Same as,Merchant,merchant,"Mobile phone with touch screen, ",No,30,22,14,66
1040495,MADDA WALABU UNIVERSITY,3.08,2007,Yes,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Same as,Merchant,Merchant,"Mobile phone with touch screen, ",Yes,28,24,14,66
1085109,Wachamo University,3.02,2020,Yes,Oromia,Oromia,,Primary Education,Secondary Education,Better than,farmer,merchant,"Mobile phone with touch screen, ",No,31,23,12,66
1002779,Wolaita University,3.4,2015,Yes,Oromia,Oromia,,Post Secondary,Secondary Education,Better than,health officer,Housewife,"Mobile phone with touch screen, ",Yes,33,19,14,66
1015557,Mekelle University,3.05,2011 EC,Yes,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Same as,Retired,Housewife,"Mobile phone with touch screen, ",Yes,33,27,6,66
1017670,Haromya University,3.03,2011 E.C,Yes,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Same as,merchant,housewife,"Mobile phone with touch screen, ",No,31,19,16,66
1042196,Wollega University,3.14,2010,Yes,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Better than,Retired,Housewife,"Mobile phone with touch screen, ",Yes,42,14,10,66
1032647,AAU school of commerce,3.62,2019,Yes,Addis Ababa,Addis Ababa,,Secondary Education,Secondary Education,Same as,died,housewife,"Mobile phone with touch screen, ",Yes,31,23,12,66
1041468,University of Gondar,3.49,2021 GC,Yes,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Same as,personal job,Housewife,"Mobile phone with touch screen, ",Yes,22,28,16,66
1040666,Addis Ababa University,3.96,2019,Yes,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,tailor,housewife,"Mobile phone with touch screen, ",Yes,24,23,19,66
1085061,Bahir Dar,2.63,2020,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Post Secondary,Secondary Education,Same as,civil servant,housewife,"Mobile phone with touch screen, ",Yes,33,18,15,66
4310,Addis Ababa university,3.06,2006,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Non Literate Adult and Non Formal Education,,Same as,Farmer,household,"Mobile phone with touch screen, ",Yes,32,14,20,66
1013858,Addis Ababa Science and Technology University,3.4,2011,Yes,Addis Ababa,Addis Ababa,,Primary Education,Primary Education,Same as,govermental,household,"Mobile phone with touch screen, ",Yes,23,30,13,66
1042178,Addis Ababa Scfience and Technology University,3.76,2017,Yes,"Southern Nations, Nationalities, and Peoples","Southern Nations, Nationalities, and Peoples",,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,Passed away,household,"Mobile phone with touch screen, ",No,24,30,12,66
1014494,Harambee University,3.98,2019,Yes,Oromia,Oromia,,Post Secondary,Primary Education,Same as,I have no father,House worker,"Mobile phone with touch screen, ",No,27,26,13,66
1014866,dire dawa university,3.68,2021,No,Amhara,Amhara,,Non Literate Adult and Non Formal Education,Non Literate Adult and Non Formal Education,Same as,farmer,house worker,"Mobile phone with touch screen, ",No,27,18,21,66
